Manufacturer,Model,Engine size,Fuel type,Year of manufacture,Mileage,Price,car_age,price_per_km,mileage_per_year,engine_size_category,ID
Ford,Fiesta,1.0,Petrol,2002,127300,3074,24,0.02,127300,Small,1
Porsche,718 Cayman,4.0,Petrol,2016,57850,49704,10,0.86,57850,Large,2
Ford,Mondeo,1.6,Diesel,2014,39190,24072,12,0.61,39190,Small,3
Toyota,RAV4,1.8,Hybrid,1988,210814,1705,38,0.01,210814,Small,4
VW,Polo,1.0,Petrol,2006,127869,4101,20,0.03,127869,Small,5
Ford,Focus,1.4,Petrol,2018,33603,29204,8,0.87,33603,Small,6
Ford,Mondeo,1.8,Diesel,2010,86686,14350,16,0.17,86686,Small,7
Toyota,Prius,1.4,Hybrid,2015,30663,30297,11,0.99,30663,Small,8
VW,Polo,1.2,Petrol,2012,73470,9977,14,0.14,73470,Small,9
Ford,Focus,2.0,Diesel,1992,262514,1049,34,0.0,262514,Small,10
VW,Golf,2.0,Diesel,2014,83047,17173,12,0.21,83047,Small,11
BMW,Z4,2.0,Petrol,1990,293666,719,36,0.0,293666,Small,12
VW,Golf,1.2,Diesel,2007,92697,7792,19,0.08,92697,Small,13
Toyota,RAV4,2.2,Petrol,2007,79393,16026,19,0.2,79393,Medium,14
Toyota,Yaris,1.4,Petrol,1998,97286,4046,28,0.04,97286,Small,15
VW,Golf,1.6,Diesel,1989,222390,933,37,0.0,222390,Small,16
Toyota,RAV4,2.4,Hybrid,2003,117425,11667,23,0.1,117425,Medium,17
Toyota,Yaris,1.2,Petrol,1992,245990,720,34,0.0,245990,Small,18
Toyota,RAV4,2.0,Hybrid,2018,28381,52671,8,1.86,28381,Small,19
VW,Polo,1.2,Petrol,1998,155038,2118,28,0.01,155038,Small,20
VW,Golf,1.2,Hybrid,1987,121744,1890,39,0.02,121744,Small,21
Ford,Mondeo,1.6,Diesel,1996,77584,5667,30,0.07,77584,Small,22
Toyota,Prius,1.0,Hybrid,2003,115291,6512,23,0.06,115291,Small,23
Toyota,Prius,1.0,Hybrid,1990,238571,961,36,0.0,238571,Small,24
Porsche,911,2.6,Petrol,2009,66273,41963,17,0.63,66273,Medium,25
Toyota,Prius,1.8,Hybrid,2017,31958,38961,9,1.22,31958,Small,26
Porsche,911,3.5,Petrol,2005,151556,19747,21,0.13,151556,Large,27
Toyota,Yaris,1.2,Petrol,2002,179097,2548,24,0.01,179097,Small,28
VW,Golf,2.0,Petrol,2020,18985,36387,6,1.92,18985,Small,29
Toyota,RAV4,1.8,Hybrid,2002,66990,13553,24,0.2,66990,Small,30
Ford,Focus,1.0,Hybrid,2010,85131,12472,16,0.15,85131,Small,31
Ford,Fiesta,1.0,Petrol,2001,144731,2503,25,0.02,144731,Small,32
VW,Polo,2.0,Diesel,2008,97001,8784,18,0.09,97001,Small,33
VW,Polo,1.6,Petrol,2016,52409,17257,10,0.33,52409,Small,34
Ford,Fiesta,1.4,Petrol,2010,112714,6936,16,0.06,112714,Small,35
VW,Passat,2.0,Diesel,1992,198540,1964,34,0.01,198540,Small,36
VW,Passat,1.8,Diesel,1989,213162,1340,37,0.01,213162,Small,37
BMW,Z4,2.2,Petrol,2005,133174,8511,21,0.06,133174,Medium,38
VW,Polo,1.6,Petrol,2008,129588,5848,18,0.05,129588,Small,39
BMW,Z4,2.0,Petrol,1990,148586,2637,36,0.02,148586,Small,40
Ford,Focus,2.0,Petrol,1995,91173,5181,31,0.06,91173,Small,41
BMW,M5,4.0,Petrol,2017,22759,97758,9,4.3,22759,Large,42
VW,Polo,1.4,Petrol,1990,261526,522,36,0.0,261526,Small,43
VW,Passat,1.4,Diesel,1995,235594,1439,31,0.01,235594,Small,44
BMW,Z4,2.0,Petrol,1995,42759,7873,31,0.18,42759,Small,45
VW,Passat,1.8,Diesel,2005,103352,9633,21,0.09,103352,Small,46
VW,Passat,1.6,Petrol,2003,63372,10001,23,0.16,63372,Small,47
Toyota,Yaris,1.0,Petrol,2009,51787,9689,17,0.19,51787,Small,48
Ford,Fiesta,1.4,Petrol,2014,41495,14721,12,0.35,41495,Small,49
Toyota,Yaris,1.4,Petrol,2010,43111,12928,16,0.3,43111,Small,50
Ford,Fiesta,1.0,Diesel,2017,38370,16257,9,0.42,38370,Small,51
Toyota,RAV4,2.4,Petrol,2018,24588,49125,8,2.0,24588,Medium,52
VW,Polo,1.0,Diesel,2000,207339,1480,26,0.01,207339,Small,53
Ford,Fiesta,1.0,Petrol,1990,182958,873,36,0.0,182958,Small,54
VW,Passat,1.6,Diesel,1994,114647,4008,32,0.03,114647,Small,55
VW,Polo,1.0,Petrol,1995,162993,1482,31,0.01,162993,Small,56
VW,Golf,1.2,Petrol,2002,139884,3713,24,0.03,139884,Small,57
Porsche,Cayenne,2.6,Diesel,2015,33693,54037,11,1.6,33693,Medium,58
BMW,Z4,2.2,Petrol,2004,126777,8373,22,0.07,126777,Medium,59
Ford,Fiesta,1.2,Petrol,2010,51553,9813,16,0.19,51553,Small,60
Toyota,Yaris,1.0,Petrol,2010,75821,8851,16,0.12,75821,Small,61
VW,Polo,1.4,Diesel,2010,45193,11881,16,0.26,45193,Small,62
VW,Polo,1.6,Petrol,1997,87723,3840,29,0.04,87723,Small,63
Ford,Focus,1.8,Petrol,1993,279656,863,33,0.0,279656,Small,64
